n,Serie_Armonica,Serie_Inversos_Cuadrados
112920,12.2116549752,1.6449252111
114492,12.2254802626,1.6449253327
116086,12.2393065468,1.6449254526
117702,12.2531311984,1.6449255709
119341,12.2669600750,1.6449256875
121002,12.2807821504,1.6449258026
122687,12.2946114159,1.6449259161
124395,12.3084369499,1.6449260280
126127,12.3222642440,1.6449261384
127883,12.3360906371,1.6449262472
129663,12.3499135769,1.6449263546
131468,12.3637382231,1.6449264605
133298,12.3775619182,1.6449265649
135154,12.3913895124,1.6449266679
137036,12.4052182576,1.6449267695
138944,12.4190455167,1.6449268697
140878,12.4328687607,1.6449269685
142839,12.4466925662,1.6449270660
144828,12.4605212277,1.6449271621
146844,12.4743451476,1.6449272569
148888,12.4881686476,1.6449273504
150961,12.5019957813,1.6449274426
153063,12.5158238119,1.6449275336
155194,12.5296501129,1.6449276233
157355,12.5434785207,1.6449277118
159546,12.5573063597,1.6449277991
161767,12.5711310631,1.6449278851
164019,12.5849562671,1.6449279700
166303,12.5987853762,1.6449280537
168618,12.6126097106,1.6449281363
170966,12.6264385748,1.6449282177
173346,12.6402634254,1.6449282981
175759,12.6540875272,1.6449283773
178206,12.6679139341,1.6449284554
180687,12.6817399637,1.6449285324
183203,12.6955685007,1.6449286084
185754,12.7093968533,1.6449286834
188340,12.7232224387,1.6449287573
190962,12.7370480176,1.6449288302
193621,12.7508761663,1.6449289021
196317,12.7647041905,1.6449289731
199050,12.7785295053,1.6449290430
201821,12.7923545873,1.6449291120
204631,12.8061817445,1.6449291800
207480,12.8200083032,1.6449292471
210369,12.8338364523,1.6449293133
213298,12.8476635370,1.6449293786
216268,12.8614916352,1.6449294430
219279,12.8753181157,1.6449295065
222332,12.8891449530,1.6449295691
225428,12.9029739794,1.6449296309
228567,12.9168025154,1.6449296918
231749,12.9306279908,1.6449297518
234976,12.9444564530,1.6449298111
238248,12.9582851905,1.6449298696
241565,12.9721116017,1.6449299272
244928,12.9859372751,1.6449299840
248338,12.9997636787,1.6449300401
251796,13.0135921655,1.6449300954
255302,13.0274200605,1.6449301499
258857,13.0412486611,1.6449302037
262461,13.0550753485,1.6449302568
266115,13.0689013690,1.6449303091
269820,13.0827278670,1.6449303607
273577,13.0965558894,1.6449304116
277386,13.1103827844,1.6449304618
281248,13.1242095641,1.6449305113
285164,13.1380371506,1.6449305601
289135,13.1518663802,1.6449306083
293161,13.1656945956,1.6449306558
297243,13.1795226121,1.6449307026
301382,13.1933511660,1.6449307488
305578,13.2071776453,1.6449307944
309833,13.2210060003,1.6449308393
314147,13.2348335647,1.6449308836
318521,13.2486609205,1.6449309273
322956,13.2624885831,1.6449309705
327453,13.2763170041,1.6449310130
332012,13.2901435627,1.6449310549
336635,13.3039716865,1.6449310963
341322,13.3177987220,1.6449311371
346075,13.3316279032,1.6449311773
350894,13.3454565524,1.6449312170
355780,13.3592849115,1.6449312561
360734,13.3731131746,1.6449312947
365757,13.3869414894,1.6449313328
370850,13.4007699603,1.6449313703
376014,13.4145986504,1.6449314074
381250,13.4284275833,1.6449314439
386559,13.4422567457,1.6449314799
391941,13.4560835378,1.6449315154
397398,13.4699104995,1.6449315505
402931,13.4837375162,1.6449315850
408541,13.4975644442,1.6449316191
414230,13.5113935261,1.6449316527
419998,13.5252220837,1.6449316859
425846,13.5390498966,1.6449317186
431776,13.5528790371,1.6449317508
437788,13.5667068609,1.6449317826
443884,13.5805353373,1.6449318140
450065,13.5943640716,1.6449318449
456332,13.6081926544,1.6449318755
462686,13.6220206628,1.6449319056
469129,13.6358497936,1.6449319352
475661,13.6496774107,1.6449319645
482284,13.6635051328,1.6449319934
489000,13.6773344559,1.6449320219
495809,13.6911627243,1.6449320499
502713,13.7049913692,1.6449320776
509713,13.7188197470,1.6449321050
516810,13.7326472135,1.6449321319
524006,13.7464750327,1.6449321585
531302,13.7603024828,1.6449321847
538700,13.7741307017,1.6449322105
546201,13.7879588992,1.6449322360
553807,13.8017880973,1.6449322612
561518,13.8156156650,1.6449322860
569337,13.8294443480,1.6449323104
577265,13.8432732432,1.6449323345
585303,13.8571014600,1.6449323583
593453,13.8709298061,1.6449323818
601717,13.8847590099,1.6449324049
610096,13.8985880853,1.6449324278
618591,13.9124160633,1.6449324503
627205,13.9262451820,1.6449324725
635939,13.9400743769,1.6449324944
644794,13.9539026053,1.6449325160
653773,13.9677319051,1.6449325373
662877,13.9815611508,1.6449325583
672107,13.9953892419,1.6449325790
681466,14.0092180375,1.6449325994
690955,14.0230463662,1.6449326196
700576,14.0368745114,1.6449326395
710331,14.0507027064,1.6449326591
720222,14.0645311359,1.6449326784
730251,14.0783599392,1.6449326975
740420,14.0921892119,1.6449327163
750730,14.1060176764,1.6449327348
761184,14.1198467165,1.6449327531
771783,14.1336750142,1.6449327711
782530,14.1475038432,1.6449327889
793427,14.1613331123,1.6449328065
804475,14.1751614562,1.6449328238
815677,14.1889900001,1.6449328409
827035,14.2028185642,1.6449328577
838551,14.2166469425,1.6449328743
850228,14.2304760808,1.6449328907
862067,14.2443045177,1.6449329068
874071,14.2581331240,1.6449329228
886242,14.2719615591,1.6449329385
898583,14.2857905785,1.6449329540
911096,14.2996197631,1.6449329693
923783,14.3134486807,1.6449329843
936647,14.3272779547,1.6449329992
949690,14.3411070859,1.6449330139
962914,14.3549355667,1.6449330283
976322,14.3687639060,1.6449330426
989917,14.3825925502,1.6449330567
1000000,14.3927267229,1.6449330668
